date,hospital,type,incidents,report,link
1/31/16,BHC Fairfax,Assault,1,Unreported,https://www.documentcloud.org/documents/6132686-Fairfax-Kirkland-013116-Assault.html
2/4/16,BHC Fairfax,Assault,1,Unreported,https://www.documentcloud.org/documents/6132687-Fairfax-Kirkland-020416-Assault.html
2/25/16,BHC Fairfax,Assault,1,Unreported,https://www.documentcloud.org/documents/6132688-Fairfax-Kirkland-022516-Assault-1.html
2/25/16,BHC Fairfax,Assault,1,Unreported,https://www.documentcloud.org/documents/6132689-Fairfax-Kirkland-022516-Assault-2.html
2/25/16,BHC Fairfax,Assault,1,Unreported,https://www.documentcloud.org/documents/6132690-Fairfax-Kirkland-022516-Assault-3.html
2/26/16,BHC Fairfax,Assault,1,Unreported,https://www.documentcloud.org/documents/6132691-Fairfax-Kirkland-022616-Assault.html
4/13/16,BHC Fairfax,Assault,1,Unreported,https://www.documentcloud.org/documents/6132692-Fairfax-Kirkland-041316-Assault.html
5/30/16,BHC Fairfax,Escape,1,Unreported,https://www.documentcloud.org/documents/6132693-Fairfax-Kirkland-053016-Escape.html
6/26/16,BHC Fairfax,Escape,1,Unreported,https://www.documentcloud.org/documents/6132695-Fairfax-Kirkland-062616-Escape.html
6/28/16,BHC Fairfax,Assault,1,Unreported,https://www.documentcloud.org/documents/6132696-Fairfax-Kirkland-062816-Assault.html
7/7/16,BHC Fairfax,Assault,1,Unreported,https://www.documentcloud.org/documents/6132698-Fairfax-Kirkland-070716-Assault.html
7/13/16,BHC Fairfax,Assault,1,Unreported,https://www.documentcloud.org/documents/6132699-Fairfax-Kirkland-071316-Assault.html
7/19/16,BHC Fairfax,Suicide Attempt,1,Unreported,https://www.documentcloud.org/documents/6132700-Fairfax-Kirkland-071916-Suicide-Attempt.html
8/2/16,BHC Fairfax,Escape,1,Unreported,https://www.documentcloud.org/documents/6132701-Fairfax-Kirkland-080216-Escape.html
8/8/16,BHC Fairfax,Assault,1,Unreported,https://www.documentcloud.org/documents/6132702-Fairfax-Kirkland-080816-Assault.html
9/25/16,BHC Fairfax,Suicide Attempt,1,Unreported,https://www.documentcloud.org/documents/6132703-Fairfax-Kirkland-092516-Suicide-Attempt.html
9/26/16,BHC Fairfax,Assault,1,Unreported,https://www.documentcloud.org/documents/6132704-Fairfax-Kirkland-092616-Assault.html
11/25/16,BHC Fairfax,Assault,1,Unreported,https://www.documentcloud.org/documents/6132705-Fairfax-Kirkland-112516-Assault.html
2/12/17,BHC Fairfax,Assault,1,Unreported,https://www.documentcloud.org/documents/6150805-Fairfax-Kirkland-021217-Assault.html
2/18/17,BHC Fairfax,Assault,1,Unreported,https://www.documentcloud.org/documents/6150804-Fairfax-Kirkland-021817-Assault.html
3/4/17,BHC Fairfax,Escape,1,Unreported,https://www.documentcloud.org/documents/6150803-Fairfax-Kirkland-030417-Escape.html
3/5/17,BHC Fairfax,Escape,1,Unreported,https://www.documentcloud.org/documents/6150802-Fairfax-Kirkland-030517-Escape.html
4/25/17,BHC Fairfax,Escape,1,Reported,
5/9/17,BHC Fairfax,Assault,1,Unreported,https://www.documentcloud.org/documents/6150801-Fairfax-Kirkland-050917-Assault.html
5/16/17,BHC Fairfax,Assault,1,Unreported,https://www.documentcloud.org/documents/6150800-Fairfax-Kirkland-051617-Assault.html
5/23/17,BHC Fairfax,Assault,1,Unreported,https://www.documentcloud.org/documents/6150799-Fairfax-Kirkland-052317-Assault.html
5/24/17,BHC Fairfax,Assault,1,Unreported,https://www.documentcloud.org/documents/6150798-Fairfax-Kirkland-052417-Assault.html
6/14/17,BHC Fairfax,Assault,1,Unreported,https://www.documentcloud.org/documents/6150797-Fairfax-Kirkland-061417-Assault.html
7/9/17,BHC Fairfax,Escape,1,Unreported,https://www.documentcloud.org/documents/6150796-Fairfax-Kirkland-070917-Escape.html
7/21/17,BHC Fairfax,Assault,1,Unreported,https://www.documentcloud.org/documents/6150795-Fairfax-Kirkland-072117-Assault.html
8/9/17,BHC Fairfax,Escape,1,Unreported,https://www.documentcloud.org/documents/6140586-Fairfax-Kirkland-080917-Escape.html
8/10/17,BHC Fairfax,Assault,1,Unreported,https://www.documentcloud.org/documents/6140585-Fairfax-Kirkland-081017-Assault.html
8/21/17,BHC Fairfax,Assault,1,Unreported,https://www.documentcloud.org/documents/6140584-Fairfax-Kirkland-082117-Assault.html
9/3/17,BHC Fairfax,Escape,1,Unreported,https://www.documentcloud.org/documents/6140583-Fairfax-Kirkland-090317-Escape.html
10/19/17,BHC Fairfax,Assault,1,Unreported,https://www.documentcloud.org/documents/6140582-Fairfax-Kirkland-101917-Assault.html
10/30/17,BHC Fairfax,Assault,1,Unreported,https://www.documentcloud.org/documents/6140581-Fairfax-Kirkland-103017-Assault.html
10/31/17,BHC Fairfax,Assault,1,Unreported,https://www.documentcloud.org/documents/6140580-Fairfax-Kirkland-103117-Assault.html
11/6/17,BHC Fairfax,Assault,1,Unreported,https://www.documentcloud.org/documents/6140578-Fairfax-Kirkland-110617-Assault-2.html
11/6/17,BHC Fairfax,Assault,1,Unreported,https://www.documentcloud.org/documents/6140579-Fairfax-Kirkland-110617-Assault-1.html
11/16/17,BHC Fairfax,Escape,1,Unreported,https://www.documentcloud.org/documents/6140577-Fairfax-Kirkland-111617-Escape.html
